,0,1,2,,,,,,,,,,,,,
0,0.7213411,0.6980316,0.7252322,,,,,,,,,,,,,
1,0.66908085,0.6508809,0.6673135,,,,,,,,,,,,,
2,0.6893839,0.6840918,0.6872129,,,,,,,,,,,,,
3,0.69028306,0.6853269,0.69391346,,,,,,,,,,,,,
4,0.6610972,0.6742088,0.68136203,,,,,,,,,,,,,
5,0.6996625,0.687934,0.70036465,,,,Query,S01,S02,S03,,,,,,
6,0.6911076,0.6814686,0.6794167,,,,Q01,0.7213411,0.6980316,0.7252322,,,,,,
7,0.68696725,0.6797541,0.6837241,,,,Q02,0.66908085,0.6508809,0.6673135,,,,,,
8,0.6814147,0.6820897,0.67973155,,,,Q03,0.6893839,0.6840918,0.6872129,,,,,,
9,0.8912416,0.90293133,0.903161,,,,Q04,0.69028306,0.6853269,0.69391346,,,,,,
,,,,,,,Q05,0.6610972,0.6742088,0.68136203,,,,,,
,,,,,,,Q06,0.6996625,0.687934,0.70036465,,,,,,
,,,,,,,Q07,0.6911076,0.6814686,0.6794167,,,,,,
,,,,,,,Q08,0.68696725,0.6797541,0.6837241,,,,,,
,,,,,,,Q09,0.6814147,0.6820897,0.67973155,,,,,,
,,,,,,,Q10,0.8912416,0.90293133,0.903161,,,,,,
