,0,1,2,,,,,,,
0,0.684954,0.6518613,0.6958266,,,,,,,
1,0.6116502,0.57099307,0.5911124,,,,,,,
2,0.6243627,0.672247,0.61978763,,,,,,,
3,0.671105,0.6693015,0.6359144,,,,Query,S01,S02,S03
4,0.6766919,0.65880996,0.68334633,,,,Q01,0.684954,0.6518613,0.6958266
5,0.65550584,0.6391836,0.6565571,,,,Q02,0.6116502,0.57099307,0.5911124
6,0.6562365,0.64972687,0.6406554,,,,Q03,0.6243627,0.672247,0.61978763
7,0.6181014,0.60989916,0.66242605,,,,Q04,0.671105,0.6693015,0.6359144
8,0.658388,0.64530754,0.65994257,,,,Q05,0.6766919,0.65880996,0.68334633
9,0.88615996,0.8695368,0.8705681,,,,Q06,0.65550584,0.6391836,0.6565571
,,,,,,,Q07,0.6562365,0.64972687,0.6406554
,,,,,,,Q08,0.6181014,0.60989916,0.66242605
,,,,,,,Q09,0.658388,0.64530754,0.65994257
,,,,,,,Q10,0.88615996,0.8695368,0.8705681
